"threshold","n_persons","n_moments","estimate","SE","p"
20,68,5969,-0.0937,0.02,8.321e-06
30,67,5944,-0.0938,0.0202,9.79e-06
50,63,5772,-0.0912,0.0208,2.965e-05
70,61,5653,-0.0883,0.0212,7.272e-05
