"model","focal_term","b_without","b_with","p_with","beep_p","day_p"
"V2: condition -> experience","elevation_w",0.7443,0.7456,5.437e-41,1.854e-06,0.9591
"Flow -> pain (activity-adjusted)","FLOWEXP_w",-0.0937,-0.101,1.252e-06,2.558e-28,0.07914
