"elevation","elevation_value","estimate","SE","lo","hi","p"
"-1 SD",-1.179,-0.031,0.016,-0.063,0.002,0.06366
"person mean",0,0.02,0.012,-0.003,0.043,0.08418
"+1 SD",1.179,0.07,0.017,0.037,0.103,2.971e-05
