day,mean,std,min,max
1,6.4,2.12,1,16
2,6.94,2.04,1,16
3,6.84,2.65,1,16
4,6.69,1.91,1,13
5,6.79,2.14,1,14
6,7.0,2.29,1,16
7,7.13,2.44,2,16
8,6.45,1.47,3,9
9,6.7,1.68,1,8
10,6.8,2.26,1,14
11,6.79,2.54,1,16
12,7.03,2.31,1,16
13,6.85,1.39,3,8
14,7.15,1.48,2,8
