"from","to","weight","SE","P","ran_SD","edge"
"PIJN","PIJN",0.346,0.025,0,0.153,"PIJN__to__PIJN"
"PIJN","THREAT",0.047,0.014,0.001,0.015,"PIJN__to__THREAT"
"PIJN","ATTEND",0.084,0.019,0,0.071,"PIJN__to__ATTEND"
"PIJN","ENGAGE",-0.051,0.026,0.049,0.097,"PIJN__to__ENGAGE"
"PIJN","EFFIC",-0.007,0.023,0.769,0.058,"PIJN__to__EFFIC"
"PIJN","VALENCE",0.012,0.025,0.625,0.067,"PIJN__to__VALENCE"
"THREAT","PIJN",0.096,0.027,0,0.137,"THREAT__to__PIJN"
"THREAT","THREAT",0.298,0.028,0,0.171,"THREAT__to__THREAT"
"THREAT","ATTEND",0.128,0.025,0,0.11,"THREAT__to__ATTEND"
"THREAT","ENGAGE",-0.013,0.031,0.68,0.118,"THREAT__to__ENGAGE"
"THREAT","EFFIC",-0.044,0.029,0.127,0.09,"THREAT__to__EFFIC"
"THREAT","VALENCE",-0.018,0.031,0.561,0.103,"THREAT__to__VALENCE"
"ATTEND","PIJN",0.035,0.019,0.064,0.069,"ATTEND__to__PIJN"
"ATTEND","THREAT",0.04,0.018,0.027,0.082,"ATTEND__to__THREAT"
"ATTEND","ATTEND",0.179,0.026,0,0.156,"ATTEND__to__ATTEND"
"ATTEND","ENGAGE",0.034,0.024,0.156,0.057,"ATTEND__to__ENGAGE"
"ATTEND","EFFIC",-0.008,0.023,0.728,0.045,"ATTEND__to__EFFIC"
"ATTEND","VALENCE",0.004,0.029,0.88,0.128,"ATTEND__to__VALENCE"
"ENGAGE","PIJN",0.008,0.013,0.544,0.037,"ENGAGE__to__PIJN"
"ENGAGE","THREAT",-0.005,0.01,0.607,0,"ENGAGE__to__THREAT"
"ENGAGE","ATTEND",-0.01,0.012,0.416,0,"ENGAGE__to__ATTEND"
"ENGAGE","ENGAGE",0.138,0.024,0,0.128,"ENGAGE__to__ENGAGE"
"ENGAGE","EFFIC",0.031,0.02,0.129,0.089,"ENGAGE__to__EFFIC"
"ENGAGE","VALENCE",0.032,0.02,0.108,0.076,"ENGAGE__to__VALENCE"
"EFFIC","PIJN",-0.003,0.013,0.817,0,"EFFIC__to__PIJN"
"EFFIC","THREAT",-0.001,0.011,0.952,0,"EFFIC__to__THREAT"
"EFFIC","ATTEND",0.011,0.014,0.456,0.045,"EFFIC__to__ATTEND"
"EFFIC","ENGAGE",0.017,0.018,0.346,0,"EFFIC__to__ENGAGE"
"EFFIC","EFFIC",0.07,0.018,0,0.027,"EFFIC__to__EFFIC"
"EFFIC","VALENCE",0.03,0.019,0.108,0.033,"EFFIC__to__VALENCE"
"VALENCE","PIJN",-0.005,0.014,0.736,0.041,"VALENCE__to__PIJN"
"VALENCE","THREAT",0.004,0.011,0.695,0,"VALENCE__to__THREAT"
"VALENCE","ATTEND",-0.001,0.014,0.93,0.032,"VALENCE__to__ATTEND"
"VALENCE","ENGAGE",0,0.019,0.98,0,"VALENCE__to__ENGAGE"
"VALENCE","EFFIC",0.006,0.018,0.753,0,"VALENCE__to__EFFIC"
"VALENCE","VALENCE",0.065,0.019,0.001,0.021,"VALENCE__to__VALENCE"
