"from","to","weight","SE","P","ran_SD","edge"
"PIJN","PIJN",0.348,0.025,0,0.149,"PIJN__to__PIJN"
"PIJN","THREAT",0.04,0.014,0.004,0,"PIJN__to__THREAT"
"PIJN","ATTEND",0.086,0.019,0,0.068,"PIJN__to__ATTEND"
"PIJN","ENGAGE",-0.05,0.027,0.059,0.104,"PIJN__to__ENGAGE"
"THREAT","PIJN",0.091,0.025,0,0.112,"THREAT__to__PIJN"
"THREAT","THREAT",0.298,0.027,0,0.158,"THREAT__to__THREAT"
"THREAT","ATTEND",0.121,0.025,0,0.103,"THREAT__to__ATTEND"
"THREAT","ENGAGE",-0.02,0.032,0.52,0.115,"THREAT__to__ENGAGE"
"ATTEND","PIJN",0.038,0.019,0.041,0.068,"ATTEND__to__PIJN"
"ATTEND","THREAT",0.05,0.017,0.004,0.077,"ATTEND__to__THREAT"
"ATTEND","ATTEND",0.194,0.027,0,0.154,"ATTEND__to__ATTEND"
"ATTEND","ENGAGE",0.03,0.023,0.195,0.043,"ATTEND__to__ENGAGE"
"ENGAGE","PIJN",-0.003,0.012,0.796,0.049,"ENGAGE__to__PIJN"
"ENGAGE","THREAT",-0.006,0.009,0.493,0,"ENGAGE__to__THREAT"
"ENGAGE","ATTEND",-0.007,0.012,0.584,0.047,"ENGAGE__to__ATTEND"
"ENGAGE","ENGAGE",0.15,0.022,0,0.125,"ENGAGE__to__ENGAGE"
