"node1","node2","pcor","P","ran_SD"
"THREAT","PIJN",0.316,0,0.145
"ATTEND","PIJN",0.284,0,0.138
"ATTEND","THREAT",0.272,0,0.117
"FLOWEXP","PIJN",-0.066,0.002,0.089
"FLOWEXP","THREAT",-0.038,0.009,0.007
"FLOWEXP","ATTEND",-0.027,0.109,0.035
