"node1","node2","pcor","P","ran_SD"
"THREAT","PIJN",0.327,0,0.141
"ATTEND","PIJN",0.282,0,0.141
"ATTEND","THREAT",0.271,0,0.123
"ENGAGE","PIJN",-0.064,0.003,0.091
"ENGAGE","THREAT",-0.01,0.462,0
"ENGAGE","ATTEND",-0.022,0.188,0.046
