"from","to","weight","SE","P","ran_SD"
"PIJN","PIJN",0.347,0.025,0,0.15
"PIJN","THREAT",0.048,0.014,0.001,0.016
"PIJN","ATTEND",0.085,0.019,0,0.071
"PIJN","FLOWEXP",-0.021,0.026,0.413,0.099
"THREAT","PIJN",0.095,0.026,0,0.128
"THREAT","THREAT",0.299,0.028,0,0.171
"THREAT","ATTEND",0.13,0.025,0,0.111
"THREAT","FLOWEXP",-0.013,0.03,0.664,0.084
"ATTEND","PIJN",0.035,0.019,0.065,0.07
"ATTEND","THREAT",0.041,0.018,0.021,0.079
"ATTEND","ATTEND",0.179,0.026,0,0.154
"ATTEND","FLOWEXP",0.021,0.027,0.439,0.106
"FLOWEXP","PIJN",0,0.011,0.991,0.041
"FLOWEXP","THREAT",-0.001,0.009,0.929,0
"FLOWEXP","ATTEND",-0.001,0.012,0.915,0.05
"FLOWEXP","FLOWEXP",0.132,0.02,0,0.104
