"node1","node2","pcor","P"
"THREAT","PIJN",0.227,0.051
"ATTEND","PIJN",0.177,0.119
"ATTEND","THREAT",0.642,0
"ENGAGE","PIJN",0.051,0.598
"ENGAGE","THREAT",-0.097,0.362
"ENGAGE","ATTEND",-0.024,0.791
